Pair,Probability,Code
"]
",14/770604,111111101100001
Су,14/770604,1111111011000100
…»,14/770604,1111111011000101
мч,14/770604,1111111011000110
Вз,14/770604,1111111011000111
Фо,14/770604,1111111011001000
Пу,14/770604,1111111011001001
й…,14/770604,111111101100101
«З,14/770604,1111111011001100
 N,13/770604,1111111011001101
лё,13/770604,1111111011001110
нб,13/770604,1111111011001111
х;,13/770604,1111111011010000
«Т,13/770604,1111111011010001
Оч,13/770604,1111111011010010
Бр,13/770604,1111111011010011
сг,13/770604,111111101101010
 Р,13/770604,1111111011010110
Ей,13/770604,1111111011010111
ы…,13/770604,1111111011011000
т…,13/770604,1111111011011001
мц,13/770604,1111111011011010
Гд,13/770604,1111111011011011
Им,13/770604,111111101101110
„Н,13/770604,1111111011011110
л…,13/770604,1111111011011111
18,13/770604,111111101110000
Ул,13/770604,1111111011100010
уа,12/770604,1111111011100011
Ча,12/770604,1111111011100100
бш,12/770604,1111111011100101
-ф,12/770604,1111111011100110
с!,12/770604,1111111011100111
Же,12/770604,1111111011101000
"А,",12/770604,1111111011101001
",[",12/770604,1111111011101010
(И,12/770604,1111111011101011
Чу,12/770604,1111111011101100
 (,12/770604,1111111011101101
(о,12/770604,1111111011101110
ы>,12/770604,1111111011101111
 ],12/770604,1111111011110000
" 
",12/770604,1111111011110001
к»,11/770604,1111111011110010
«И,11/770604,1111111011110011
»;,11/770604,1111111011110100
[1,11/770604,1111111011110101
«в,11/770604,1111111011110110
жл,11/770604,1111111011110111
Ил,11/770604,1111111011111000
ы»,11/770604,1111111011111001
эм,11/770604,1111111011111010
«Х,11/770604,11111110111110110
нф,11/770604,11111110111110111
в…,11/770604,1111111011111100
[2,11/770604,1111111011111101
[3,11/770604,1111111011111110
щн,11/770604,1111111011111111
Бл,11/770604,1111111100000000
ц!,11/770604,1111111100000001
[4,11/770604,1111111100000010
гв,11/770604,1111111100000011
.[,11/770604,1111111100000100
См,11/770604,1111111100000101
пш,11/770604,1111111100000110
?“,11/770604,1111111100000111
N.,11/770604,1111111100001000
сз,11/770604,1111111100001001
эп,11/770604,1111111100001010
…[,11/770604,11111111000010110
и>,11/770604,11111111000010111
<н,11/770604,1111111100001100
"
1",11/770604,1111111100001101
"
2",11/770604,1111111100001110
"
3",11/770604,1111111100001111
"
4",11/770604,1111111100010000
лф,10/770604,1111111100010001
бж,10/770604,1111111100010010
м»,10/770604,1111111100010011
фт,10/770604,11111111000101000
"б,",10/770604,11111111000101001
о&,10/770604,1111111100010101
ж?,10/770604,1111111100010110
"
Э",10/770604,1111111100010111
Св,10/770604,11111111000110000
Жи,10/770604,11111111000110001
 Ц,10/770604,1111111100011001
"“,",10/770604,1111111100011010
ш»,10/770604,1111111100011011
")
",10/770604,1111111100011100
с-,9/770604,1111111100011101
«О,9/770604,11111111000111100
"О,",9/770604,11111111000111101
ёв,9/770604,1111111100011111
О ,9/770604,11111111001000000
«Я,9/770604,11111111001000001
«Б,9/770604,1111111100100001
фл,9/770604,11111111001000100
нв,9/770604,11111111001000101
рр,9/770604,1111111100100011
хт,9/770604,1111111100100100
пс,9/770604,1111111100100101
тх,9/770604,11111111001001100
тб,9/770604,11111111001001101
тш,9/770604,1111111100100111
в-,9/770604,1111111100101000
)],9/770604,1111111100101001
Ло,9/770604,11111111001010100
Вр,9/770604,11111111001010101
"
Б",9/770604,1111111100101011
уф,9/770604,1111111100101100
-о,9/770604,1111111100101101
тъ,9/770604,11111111001011100
зз,9/770604,11111111001011101
Вд,9/770604,1111111100101111
фь,9/770604,1111111100110000
а“,9/770604,1111111100110001
ч?,9/770604,11111111001100100
",
",9/770604,11111111001100101
чл,9/770604,1111111100110011
яш,9/770604,1111111100110100
  ,9/770604,1111111100110101
<т,9/770604,11111111001101100
<в,9/770604,11111111001101101
ь>,9/770604,1111111100110111
въ,8/770604,1111111100111000
д;,8/770604,11111111001110010
к…,8/770604,11111111001110011
Ед,8/770604,1111111100111010
р?,8/770604,11111111001110110
Фр,8/770604,11111111001110111
х…,8/770604,1111111100111100
с?,8/770604,11111111001111010
"
Х",8/770604,11111111001111011
хш,8/770604,1111111100111110
-р,8/770604,11111111001111110
бц,8/770604,11111111001111111
Лу,8/770604,1111111101000000
р-,8/770604,11111111010000010
23,8/770604,11111111010000011
) ,8/770604,1111111101000010
ll,8/770604,11111111010000110
Кн,8/770604,11111111010000111
<к,8/770604,1111111101000100
Яр,8/770604,11111111010001010
в>,8/770604,11111111010001011
т>,8/770604,1111111101000110
юф,7/770604,11111111010001110
зш,7/770604,11111111010001111
юл,7/770604,11111111010010000
Ув,7/770604,11111111010010001
Гм,7/770604,1111111101001001
кк,7/770604,11111111010010100
-а,7/770604,11111111010010101
щр,7/770604,11111111010010110
р:,7/770604,11111111010010111
мщ,7/770604,11111111010011000
Уч,7/770604,11111111010011001
г!,7/770604,1111111101001101
жж,7/770604,11111111010011100
"
Д",7/770604,11111111010011101
«д,7/770604,1111111101001111
юг,7/770604,11111111010100000
Ус,7/770604,11111111010100001
"п,",7/770604,1111111101010001
Ша,7/770604,11111111010100100
ыу,7/770604,11111111010100101
.»,7/770604,11111111010100110
ш.,7/770604,11111111010100111
бч,7/770604,11111111010101000
 Ж,7/770604,11111111010101001
"),",7/770604,1111111101010101
лщ,7/770604,11111111010101100
mm,7/770604,11111111010101101
 h,7/770604,11111111010101110
84,7/770604,11111111010101111
"1
",7/770604,1111111101011000
н>,7/770604,11111111010110010
-м,6/770604,11111111010110011
Зя,6/770604,11111111010110100
1 ,6/770604,11111111010110101
фы,6/770604,11111111010110110
гс,6/770604,11111111010110111
«я,6/770604,11111111010111000
Ав,6/770604,11111111010111001
дз,6/770604,11111111010111010
Сд,6/770604,11111111010111011
зц,6/770604,11111111010111100
Ум,6/770604,11111111010111101
фс,6/770604,11111111010111110
б.,6/770604,11111111010111111
Фи,6/770604,1111111101100000
ф ,6/770604,11111111011000010
ьо,6/770604,11111111011000011
ц?,6/770604,11111111011000100
Дя,6/770604,11111111011000101
бю,6/770604,11111111011000110
Ег,6/770604,11111111011000111
!“,6/770604,11111111011001000
тг,6/770604,11111111011001001
«м,6/770604,11111111011001010
ы-,6/770604,11111111011001011
Ис,6/770604,11111111011001100
аё,6/770604,11111111011001101
ёт,6/770604,11111111011001110
Хе,6/770604,11111111011001111
ю…,6/770604,11111111011010000
тф,6/770604,11111111011010001
йб,6/770604,11111111011010010
co,6/770604,11111111011010011
#2,6/770604,11111111011010100
33,6/770604,11111111011010101
e ,6/770604,11111111011010110
or,6/770604,11111111011010111
(1,6/770604,11111111011011000
<о,6/770604,11111111011011001
у>,6/770604,11111111011011010
* ,6/770604,11111111011011011
 *,6/770604,11111111011011100
к>,6/770604,11111111011011101
"5
",6/770604,11111111011011110
"2
",6/770604,11111111011011111
эл,5/770604,111111110111000000
«ч,5/770604,111111110111000001
«т,5/770604,11111111011100001
ю»,5/770604,11111111011100010
ц;,5/770604,11111111011100011
бг,5/770604,111111110111001000
Хр,5/770604,111111110111001001
ж.,5/770604,11111111011100101
щ ,5/770604,11111111011100110
«Р,5/770604,11111111011100111
 Ф,5/770604,11111111011101000
2 ,5/770604,11111111011101001
3 ,5/770604,11111111011101010
н…,5/770604,11111111011101011
ьв,5/770604,111111110111011000
Сн,5/770604,111111110111011001
н»,5/770604,11111111011101101
-х,5/770604,11111111011101110
ш?,5/770604,11111111011101111
Ох,5/770604,111111110111100000
4 ,5/770604,111111110111100001
5 ,5/770604,11111111011110001
6 ,5/770604,11111111011110010
7 ,5/770604,11111111011110011
«н,5/770604,111111110111101000
8 ,5/770604,111111110111101001
9 ,5/770604,11111111011110101
0 ,5/770604,11111111011110110
"
Л",5/770604,11111111011110111
л»,5/770604,11111111011111000
п.,5/770604,11111111011111001
лм,5/770604,11111111011111010
р;,5/770604,11111111011111011
«Е,5/770604,111111110111111000
Зе,5/770604,111111110111111001
Ид,5/770604,11111111011111101
кд,5/770604,11111111011111110
Це,5/770604,11111111011111111
вщ,5/770604,111111111000000000
Сч,5/770604,111111111000000001
„А,5/770604,11111111100000001
Ел,5/770604,11111111100000010
„Ч,5/770604,11111111100000011
Уз,5/770604,111111111000001000
Лю,5/770604,111111111000001001
om,5/770604,11111111100000101
 c,5/770604,11111111100000110
иу,5/770604,11111111100000111
41,5/770604,11111111100001000
42,5/770604,11111111100001001
Ше,5/770604,11111111100001010
"
Р",5/770604,11111111100001011
чм,5/770604,111111111000011000
е>,5/770604,111111111000011001
м>,5/770604,11111111100001101
я>,5/770604,11111111100001110
ыо,5/770604,11111111100001111
<у,5/770604,11111111100010000
<п,5/770604,11111111100010001
й>,5/770604,11111111100010010
ht,5/770604,11111111100010011
"3
",5/770604,111111111000101000
"4
",5/770604,111111111000101001
"6
",5/770604,11111111100010101
"7
",5/770604,11111111100010110
"8
",5/770604,11111111100010111
"9
",5/770604,11111111100011000
"0
",5/770604,11111111100011001
мф,4/770604,11111111100011010
Ев,4/770604,111111111000110110
в»,4/770604,111111111000110111
уи,4/770604,11111111100011100
эс,4/770604,111111111000111010
гб,4/770604,111111111000111011
сж,4/770604,11111111100011110
Сы,4/770604,111111111000111110
и),4/770604,111111111000111111
дж,4/770604,11111111100100000
 Л,4/770604,111111111001000010
кш,4/770604,111111111001000011
г:,4/770604,11111111100100010
ц:,4/770604,111111111001000110
эх,4/770604,111111111001000111
чё,4/770604,11111111100100100
-К,4/770604,111111111001001010
ч»,4/770604,111111111001001011
чв,4/770604,11111111100100110
«х,4/770604,111111111001001110
Сю,4/770604,111111111001001111
"щ,",4/770604,11111111100101000
n ,4/770604,111111111001010010
ro,4/770604,111111111001010011
(ф,4/770604,11111111100101010
Ой,4/770604,111111111001010110
 Щ,4/770604,111111111001010111
зю,4/770604,11111111100101100
(П,4/770604,111111111001011010
ш!,4/770604,111111111001011011
Зо,4/770604,11111111100101110
"
Ф",4/770604,111111111001011110
х»,4/770604,111111111001011111
Кл,4/770604,11111111100110000
Иб,4/770604,111111111001100010
вб,4/770604,111111111001100011
р»,4/770604,11111111100110010
„П,4/770604,111111111001100110
ю“,4/770604,111111111001100111
„Т,4/770604,11111111100110100
д:,4/770604,111111111001101010
ьщ,4/770604,111111111001101011
Шу,4/770604,11111111100110110
Ла,4/770604,111111111001101110
«Л,4/770604,111111111001101111
 Ю,4/770604,11111111100111000
еф,4/770604,111111111001110010
"
	",4/770604,111111111001110011
		,4/770604,11111111100111010
а),4/770604,111111111001110110
Га,4/770604,111111111001110111
ёр,4/770604,11111111100111100
t&,4/770604,11111111100111101
3;,4/770604,11111111100111110
Ад,4/770604,111111111001111110
ь“,4/770604,111111111001111111
el,4/770604,11111111101000000
le,4/770604,111111111010000010
me,4/770604,111111111010000011
e),4/770604,11111111101000010
34,4/770604,111111111010000110
нш,4/770604,111111111010000111
юц,4/770604,11111111101000100
66,4/770604,111111111010001010
;к,4/770604,111111111010001011
г;,4/770604,11111111101000110
"
 ",4/770604,111111111010001110
<р,4/770604,111111111010001111
а>,4/770604,11111111101001000
ч;,4/770604,111111111010010010
85,4/770604,111111111010010011
<Ч,4/770604,11111111101001010
<ч,4/770604,111111111010010110
<и,4/770604,111111111010010111
 1,4/770604,11111111101001100
л>,4/770604,111111111010011010
шц,4/770604,111111111010011011
Жа,4/770604,11111111101001110
<г,4/770604,111111111010011110
oy,4/770604,111111111010011111
ya,4/770604,11111111101010000
al,4/770604,111111111010100010
li,4/770604,111111111010100011
ib,4/770604,11111111101010010
b.,4/770604,111111111010100110
.r,4/770604,111111111010100111
ru,4/770604,11111111101010100
go,4/770604,111111111010101010
ol,4/770604,111111111010101011
ТО,3/770604,111111111010101100
фя,3/770604,111111111010101101
-ш,3/770604,111111111010101110
гш,3/770604,111111111010101111
Иг,3/770604,11111111101011000
Зв,3/770604,111111111010110010
Вн,3/770604,111111111010110011
;д,3/770604,111111111010110100
О!,3/770604,111111111010110101
(п,3/770604,111111111010110110
Аг,3/770604,111111111010110111
лз,3/770604,111111111010111000
дг,3/770604,111111111010111001
ьж,3/770604,111111111010111010
ш-,3/770604,111111111010111011
Хв,3/770604,111111111010111100
[5,3/770604,111111111010111101
«р,3/770604,111111111010111110
ёс,3/770604,111111111010111111
Ут,3/770604,111111111011000000
Шт,3/770604,111111111011000001
Ще,3/770604,111111111011000010
(с,3/770604,111111111011000011
-е,3/770604,111111111011000100
ён,3/770604,111111111011000101
Цв,3/770604,111111111011000110
Ак,3/770604,111111111011000111
Ер,3/770604,111111111011001000
«з,3/770604,111111111011001001
Уе,3/770604,111111111011001010
14,3/770604,111111111011001011
"ё,",3/770604,111111111011001100
«э,3/770604,111111111011001101
шм,3/770604,111111111011001110
Ря,3/770604,111111111011001111
бз,3/770604,111111111011010000
„З,3/770604,111111111011010001
я“,3/770604,111111111011010010
Фы,3/770604,111111111011010011
36,3/770604,111111111011010100
Дм,3/770604,111111111011010101
«с,3/770604,111111111011010110
ыц,3/770604,111111111011010111
st,3/770604,111111111011011000
ri,3/770604,111111111011011001
«а,3/770604,111111111011011010
ь),3/770604,111111111011011011
ж!,3/770604,111111111011011100
mo,3/770604,111111111011011101
(у,3/770604,111111111011011110
г-,3/770604,111111111011011111
Пы,3/770604,11111111101110000
on,3/770604,111111111011100010
 a,3/770604,111111111011100011
hi,3/770604,111111111011100100
ie,3/770604,111111111011100101
рё,3/770604,111111111011100110
ho,3/770604,111111111011100111
re,3/770604,111111111011101000
es,3/770604,111111111011101001
ао,3/770604,111111111011101010
te,3/770604,111111111011101011
Вш,3/770604,111111111011101100
1),3/770604,111111111011101101
2),3/770604,111111111011101110
…“,3/770604,111111111011101111
Жд,3/770604,111111111011110000
Ап,3/770604,111111111011110001
 к,3/770604,111111111011110010
«Ф,3/770604,111111111011110011
Уп,3/770604,111111111011110100
Ее,3/770604,111111111011110101
 1,3/770604,111111111011110110
ьх,3/770604,111111111011110111
<м,3/770604,111111111011111000
Ор,3/770604,111111111011111001
Ху,3/770604,111111111011111010
<з,3/770604,111111111011111011
"
*",3/770604,111111111011111100
"*
",3/770604,111111111011111101
<ц,3/770604,111111111011111110
"
Ш",3/770604,111111111011111111
Юр,3/770604,111111111100000000
<ж,3/770604,111111111100000001
х>,3/770604,111111111100000010
<с,3/770604,111111111100000011
<д,3/770604,111111111100000100
45,3/770604,111111111100000101
tt,3/770604,111111111100000110
tp,3/770604,111111111100000111
p:,3/770604,111111111100001000
:/,3/770604,111111111100001001
//,3/770604,111111111100001010
/r,3/770604,111111111100001011
"
5",3/770604,111111111100001100
ОМ,2/770604,111111111100001101
М ,2/770604,111111111100001110
"Й
",2/770604,1111111111000011110
Въ,2/770604,1111111111000011111
Ар,2/770604,111111111100010000
«б,2/770604,1111111111000100010
;[,2/770604,1111111111000100011
ъю,2/770604,111111111100010010
Чр,2/770604,1111111111000100110
с»,2/770604,1111111111000100111
з:,2/770604,111111111100010100
Тя,2/770604,1111111111000101010
р…,2/770604,1111111111000101011
Гн,2/770604,111111111100010110
Иш,2/770604,1111111111000101110
«У,2/770604,1111111111000101111
з;,2/770604,111111111100011000
Ог,2/770604,1111111111000110010
.:,2/770604,1111111111000110011
юз,2/770604,111111111100011010
ёл,2/770604,1111111111000110110
цц,2/770604,1111111111000110111
en,2/770604,111111111100011100
os,2/770604,111111111100011101
Ры,2/770604,111111111100011110
Оп,2/770604,1111111111000111110
10,2/770604,1111111111000111111
м),2/770604,111111111100100000
) ,2/770604,1111111111001000010
;л,2/770604,1111111111001000011
мш,2/770604,111111111100100010
11,2/770604,1111111111001000110
"Э,",2/770604,1111111111001000111
Ды,2/770604,111111111100100100
Пь,2/770604,1111111111001001010
12,2/770604,1111111111001001011
Щи,2/770604,111111111100100110
Фу,2/770604,1111111111001001110
п!,2/770604,1111111111001001111
ъ ,2/770604,111111111100101000
з!,2/770604,1111111111001010010
Уб,2/770604,1111111111001010011
„Д,2/770604,111111111100101010
13,2/770604,1111111111001010110
д-,2/770604,1111111111001010111
фм,2/770604,111111111100101100
«о,2/770604,1111111111001011010
15,2/770604,1111111111001011011
к“,2/770604,111111111100101110
т“,2/770604,1111111111001011110
 ъ,2/770604,1111111111001011111
„О,2/770604,111111111100110000
„Г,2/770604,1111111111001100010
в“,2/770604,1111111111001100011
о“,2/770604,111111111100110010
у“,2/770604,1111111111001100110
„И,2/770604,1111111111001100111
м“,2/770604,111111111100110100
Аб,2/770604,1111111111001101010
г…,2/770604,1111111111001101011
сф,2/770604,111111111100110110
ч:,2/770604,1111111111001101110
мт,2/770604,1111111111001101111
16,2/770604,111111111100111000
«Ш,2/770604,1111111111001110010
мз,2/770604,1111111111001110011
!),2/770604,111111111100111010
уэ,2/770604,1111111111001110110
".,",2/770604,1111111111001110111
лц,2/770604,111111111100111100
17,2/770604,111111111100111101
(л,2/770604,111111111100111110
(н,2/770604,1111111111001111110
эф,2/770604,1111111111001111111
с;,2/770604,111111111101000000
тё,2/770604,1111111111010000010
е[,2/770604,1111111111010000011
 i,2/770604,111111111101000010
in,2/770604,1111111111010000110
nc,2/770604,1111111111010000111
od,2/770604,111111111101000100
di,2/770604,1111111111010001010
it,2/770604,1111111111010001011
;),2/770604,111111111101000110
гт,2/770604,1111111111010001110
(м,2/770604,1111111111010001111
19,2/770604,111111111101001000
фч,2/770604,1111111111010010010
уц,2/770604,1111111111010010011
-у,2/770604,111111111101001010
20,2/770604,1111111111010010110
 b,2/770604,1111111111010010111
be,2/770604,111111111101001100
 f,2/770604,1111111111010011010
fe,2/770604,1111111111010011011
em,2/770604,111111111101001110
21,2/770604,1111111111010011110
ce,2/770604,1111111111010011111
 q,2/770604,111111111101010000
qu,2/770604,1111111111010100010
u’,2/770604,1111111111010100011
’o,2/770604,111111111101010010
ap,2/770604,1111111111010100110
pp,2/770604,1111111111010100111
pe,2/770604,111111111101010100
is,2/770604,1111111111010101010
to,2/770604,1111111111010101011
Ри,2/770604,111111111101010110
22,2/770604,1111111111010101110
с ,2/770604,1111111111010101111
rr,2/770604,111111111101011000
eu,2/770604,1111111111010110010
ur,2/770604,1111111111010110011
r),2/770604,111111111101011010
);,2/770604,1111111111010110110
24,2/770604,1111111111010110111
m&,2/770604,111111111101011100
;r,2/770604,111111111101011101
ra,2/770604,111111111101011110
ag,2/770604,1111111111010111110
ge,2/770604,1111111111010111111
s),2/770604,111111111101100000
о),2/770604,1111111111011000010
4;,2/770604,1111111111011000011
;t,2/770604,111111111101100010
25,2/770604,1111111111011000110
26,2/770604,1111111111011000111
27,2/770604,111111111101100100
йп,2/770604,1111111111011001010
28,2/770604,1111111111011001011
Ам,2/770604,111111111101100110
и“,2/770604,1111111111011001110
„Х,2/770604,1111111111011001111
х“,2/770604,111111111101101000
„з,2/770604,1111111111011010010
„К,2/770604,1111111111011010011
29,2/770604,111111111101101010
 6,2/770604,1111111111011010110
"6,",2/770604,1111111111011010111
Ух,2/770604,111111111101101100
е),2/770604,1111111111011011010
Бь,2/770604,1111111111011011011
30,2/770604,111111111101101110
б-,2/770604,1111111111011011110
"
Е",2/770604,1111111111011011111
31,2/770604,111111111101110000
32,2/770604,1111111111011100010
ч…,2/770604,1111111111011100011
Юз,2/770604,111111111101110010
ь[,2/770604,1111111111011100110
ц-,2/770604,1111111111011100111
нл,2/770604,111111111101110100
юе,2/770604,1111111111011101010
?!,2/770604,1111111111011101011
»?,2/770604,111111111101110110
55,2/770604,1111111111011101110
5),2/770604,1111111111011101111
с…,2/770604,111111111101111000
35,2/770604,1111111111011110010
Съ,2/770604,1111111111011110011
37,2/770604,111111111101111010
<П,2/770604,1111111111011110110
38,2/770604,1111111111011110111
П.,2/770604,111111111101111100
СП,2/770604,111111111101111101
Пб,2/770604,111111111101111110
57,2/770604,1111111111011111110
7.,2/770604,1111111111011111111
>:,2/770604,111111111110000000
Ть,2/770604,1111111111100000010
>?,2/770604,1111111111100000011
<л,2/770604,111111111110000010
39,2/770604,1111111111100000110
 [,2/770604,1111111111100000111
40,2/770604,111111111110000100
Аз,2/770604,1111111111100001010
"
<",2/770604,1111111111100001011
"
Ю",2/770604,111111111110000110
43,2/770604,1111111111100001110
-ю,2/770604,1111111111100001111
й),2/770604,111111111110001000
>!,2/770604,1111111111100010010
44,2/770604,1111111111100010011
Яв,2/770604,111111111110001010
С ,2/770604,1111111111100010110
 л,2/770604,1111111111100010111
(и,2/770604,111111111110001100
46,2/770604,1111111111100011010
47,2/770604,1111111111100011011
48,2/770604,111111111110001110
49,2/770604,1111111111100011110
50,2/770604,1111111111100011111
51,2/770604,111111111110010000
u/,2/770604,1111111111100100010
/g,2/770604,1111111111100100011
og,2/770604,111111111110010010
l_,2/770604,1111111111100100110
_n,2/770604,1111111111100100111
ni,2/770604,111111111110010100
ik,2/770604,1111111111100101010
ko,2/770604,1111111111100101011
la,2/770604,111111111110010110
ay,2/770604,1111111111100101110
.h,2/770604,1111111111100101111
tm,2/770604,111111111110011000
ml,2/770604,1111111111100110010
"l
",2/770604,1111111111100110011
"е
",2/770604,111111111110011010
ПЕ,1/770604,1111111111100110110
ЕР,1/770604,11111111111001101110
РВ,1/770604,11111111111001101111
ВЫ,1/770604,1111111111100111000
ЫЙ,1/770604,11111111111001110010
NN,1/770604,11111111111001110011
N ,1/770604,1111111111100111010
ём,1/770604,11111111111001110110
«г,1/770604,11111111111001110111
Сх,1/770604,1111111111100111100
хъ,1/770604,1111111111100111101
Вв,1/770604,1111111111100111110
«ю,1/770604,11111111111001111110
ж»,1/770604,11111111111001111111
ж…,1/770604,1111111111101000000
?[,1/770604,11111111111010000010
а[,1/770604,11111111111010000011
Я?,1/770604,1111111111101000010
Хи,1/770604,11111111111010000110
"У,",1/770604,11111111111010000111
«ж,1/770604,1111111111101000100
Я-,1/770604,11111111111010001010
Ов,1/770604,11111111111010001011
«л,1/770604,1111111111101000110
ж;,1/770604,11111111111010001110
[6,1/770604,11111111111010001111
е&,1/770604,1111111111101001000
йо,1/770604,11111111111010010010
[7,1/770604,11111111111010010011
 e,1/770604,1111111111101001010
 g,1/770604,11111111111010010110
gr,1/770604,11111111111010010111
s.,1/770604,1111111111101001100
[8,1/770604,11111111111010011010
у[,1/770604,11111111111010011011
[9,1/770604,1111111111101001110
и&,1/770604,11111111111010011110
юп,1/770604,11111111111010011111
.!,1/770604,1111111111101010000
![,1/770604,11111111111010100010
Еж,1/770604,11111111111010100011
э!,1/770604,1111111111101010010
»[,1/770604,11111111111010100110
«Ж,1/770604,11111111111010100111
 Щ,1/770604,1111111111101010100
Эд,1/770604,11111111111010101010
ё…,1/770604,11111111111010101011
ёх,1/770604,1111111111101010110
Як,1/770604,11111111111010101110
Хм,1/770604,11111111111010101111
вю,1/770604,1111111111101011000
ы&,1/770604,11111111111010110010
";,",1/770604,11111111111010110011
я&,1/770604,1111111111101011010
; ,1/770604,11111111111010110110
Ны,1/770604,11111111111010110111
Ши,1/770604,1111111111101011100
Вч,1/770604,1111111111101011101
ш;,1/770604,1111111111101011110
Оз,1/770604,11111111111010111110
з?,1/770604,11111111111010111111
ю[,1/770604,1111111111101100000
„Э,1/770604,11111111111011000010
"ъ,",1/770604,11111111111011000011
ъ.,1/770604,1111111111101100010
„У,1/770604,11111111111011000110
„Я,1/770604,11111111111011000111
е“,1/770604,1111111111101100100
Ца,1/770604,11111111111011001010
хэ,1/770604,11111111111011001011
жр,1/770604,1111111111101100110
N3,1/770604,11111111111011001110
68,1/770604,11111111111011001111
8!,1/770604,1111111111101101000
нх,1/770604,11111111111011010010
шр,1/770604,11111111111011010011
хп,1/770604,1111111111101101010
Шп,1/770604,11111111111011010110
Жу,1/770604,11111111111011010111
Юн,1/770604,1111111111101101100
	Д,1/770604,11111111111011011010
"т
",1/770604,11111111111011011011
	Т,1/770604,1111111111101101110
	В,1/770604,11111111111011011110
	Ч,1/770604,11111111111011011111
 p,1/770604,1111111111101110000
po,1/770604,11111111111011100010
ts,1/770604,11111111111011100011
sc,1/770604,1111111111101110010
cr,1/770604,11111111111011100110
ip,1/770604,11111111111011100111
pt,1/770604,1111111111101110100
tu,1/770604,11111111111011101010
um,1/770604,11111111111011101011
m[,1/770604,1111111111101110110
(д,1/770604,11111111111011101110
пх,1/770604,11111111111011101111
йх,1/770604,1111111111101111000
яо,1/770604,11111111111011110010
б!,1/770604,11111111111011110011
Эм,1/770604,1111111111101111010
Вя,1/770604,11111111111011110110
Ди,1/770604,11111111111011110111
Оф,1/770604,1111111111101111100
ёг,1/770604,1111111111101111101
„Б,1/770604,1111111111101111110
п»,1/770604,11111111111011111110
що,1/770604,11111111111011111111
„в,1/770604,1111111111110000000
„н,1/770604,11111111111100000010
оа,1/770604,11111111111100000011
] ,1/770604,1111111111110000010
й[,1/770604,11111111111100000110
Ци,1/770604,11111111111100000111
(з,1/770604,1111111111110000100
фн,1/770604,11111111111100001010
 t,1/770604,11111111111100001011
e-,1/770604,1111111111110000110
-a,1/770604,11111111111100001110
a-,1/770604,11111111111100001111
-t,1/770604,1111111111110001000
"e,",1/770604,11111111111100010010
ы[,1/770604,11111111111100010011
„М,1/770604,1111111111110001010
б“,1/770604,11111111111100010110
„ч,1/770604,11111111111100010111
„В,1/770604,1111111111110001100
н“,1/770604,11111111111100011010
„ш,1/770604,11111111111100011011
„д,1/770604,1111111111110001110
“;,1/770604,11111111111100011110
Вм,1/770604,11111111111100011111
Эг,1/770604,1111111111110010000
Би,1/770604,11111111111100100010
А?,1/770604,11111111111100100011
б:,1/770604,1111111111110010010
кх,1/770604,11111111111100100110
Чл,1/770604,11111111111100100111
(в,1/770604,1111111111110010100
Уд,1/770604,11111111111100101010
(б,1/770604,11111111111100101011
у),1/770604,1111111111110010110
иэ,1/770604,11111111111100101110
ВТ,1/770604,11111111111100101111
ОР,1/770604,1111111111110011000
РО,1/770604,11111111111100110010
ОЙ,1/770604,11111111111100110011
я[,1/770604,1111111111110011010
хч,1/770604,11111111111100110110
д<,1/770604,11111111111100110111
::,1/770604,1111111111110011100
Чь,1/770604,1111111111110011101
Вб,1/770604,1111111111110011110
(Ж,1/770604,11111111111100111110
д),1/770604,11111111111100111111
Цы,1/770604,1111111111110100000
<я,1/770604,11111111111101000010
ж:,1/770604,11111111111101000011
кз,1/770604,1111111111110100010
(Ч,1/770604,11111111111101000110
нм,1/770604,11111111111101000111
э:,1/770604,1111111111110100100
хд,1/770604,11111111111101001010
шё,1/770604,11111111111101001011
-ж,1/770604,1111111111110100110
Вл,1/770604,11111111111101001110
«Щ,1/770604,11111111111101001111
Щу,1/770604,1111111111110101000
вэ,1/770604,11111111111101010010
э ,1/770604,11111111111101010011
д[,1/770604,1111111111110101010
<х,1/770604,11111111111101010110
Уг,1/770604,11111111111101010111
«<,1/770604,1111111111110101100
>;,1/770604,11111111111101011010
<К,1/770604,11111111111101011011
",—",1/770604,1111111111110101110
Шк,1/770604,11111111111101011110
р>,1/770604,11111111111101011111
4-,1/770604,1111111111110110000
хг,1/770604,11111111111101100010
Ти,1/770604,11111111111101100011
г?,1/770604,1111111111110110010
ё-,1/770604,11111111111101100110
 «,1/770604,11111111111101100111
«…,1/770604,1111111111110110100
…в,1/770604,11111111111101101010
 2,1/770604,11111111111101101011
Ех,1/770604,1111111111110110110
д…,1/770604,11111111111101101110
Яс,1/770604,11111111111101101111
я),1/770604,1111111111110111000
вг,1/770604,11111111111101110010
«у,1/770604,11111111111101110011
[в,1/770604,1111111111110111010
е],1/770604,11111111111101110110
и ,1/770604,11111111111101110111
 п,1/770604,1111111111110111100
Их,1/770604,1111111111110111101
Ср,1/770604,1111111111110111110
(р,1/770604,11111111111101111110
(т,1/770604,11111111111101111111
с),1/770604,1111111111111000000
"
…",1/770604,11111111111110000010
…ч,1/770604,11111111111110000011
 …,1/770604,1111111111111000010
……,1/770604,11111111111110000110
….,1/770604,11111111111110000111
<О,1/770604,1111111111111000100
