Pair,Frequency,Probability
Сю,4,4/770604
"щ,",4,4/770604
n ,4,4/770604
ro,4,4/770604
(ф,4,4/770604
Ой,4,4/770604
 Щ,4,4/770604
зю,4,4/770604
(П,4,4/770604
ш!,4,4/770604
Зо,4,4/770604
"
Ф",4,4/770604
х»,4,4/770604
Кл,4,4/770604
Иб,4,4/770604
вб,4,4/770604
р»,4,4/770604
„П,4,4/770604
ю“,4,4/770604
„Т,4,4/770604
д:,4,4/770604
ьщ,4,4/770604
Шу,4,4/770604
Ла,4,4/770604
«Л,4,4/770604
 Ю,4,4/770604
еф,4,4/770604
"
	",4,4/770604
		,4,4/770604
а),4,4/770604
Га,4,4/770604
ёр,4,4/770604
t&,4,4/770604
3;,4,4/770604
Ад,4,4/770604
ь“,4,4/770604
el,4,4/770604
le,4,4/770604
me,4,4/770604
e),4,4/770604
34,4,4/770604
нш,4,4/770604
юц,4,4/770604
66,4,4/770604
;к,4,4/770604
г;,4,4/770604
"
 ",4,4/770604
<р,4,4/770604
а>,4,4/770604
ч;,4,4/770604
85,4,4/770604
<Ч,4,4/770604
<ч,4,4/770604
<и,4,4/770604
 1,4,4/770604
л>,4,4/770604
шц,4,4/770604
Жа,4,4/770604
<г,4,4/770604
oy,4,4/770604
ya,4,4/770604
al,4,4/770604
li,4,4/770604
ib,4,4/770604
b.,4,4/770604
.r,4,4/770604
ru,4,4/770604
go,4,4/770604
ol,4,4/770604
ТО,3,3/770604
фя,3,3/770604
-ш,3,3/770604
гш,3,3/770604
Иг,3,3/770604
Зв,3,3/770604
Вн,3,3/770604
;д,3,3/770604
О!,3,3/770604
(п,3,3/770604
Аг,3,3/770604
лз,3,3/770604
дг,3,3/770604
ьж,3,3/770604
ш-,3,3/770604
Хв,3,3/770604
[5,3,3/770604
«р,3,3/770604
ёс,3,3/770604
Ут,3,3/770604
Шт,3,3/770604
Ще,3,3/770604
(с,3,3/770604
-е,3,3/770604
ён,3,3/770604
Цв,3,3/770604
Ак,3,3/770604
Ер,3,3/770604
«з,3,3/770604
Уе,3,3/770604
14,3,3/770604
"ё,",3,3/770604
«э,3,3/770604
шм,3,3/770604
Ря,3,3/770604
бз,3,3/770604
„З,3,3/770604
я“,3,3/770604
Фы,3,3/770604
36,3,3/770604
Дм,3,3/770604
«с,3,3/770604
ыц,3,3/770604
st,3,3/770604
ri,3,3/770604
«а,3,3/770604
ь),3,3/770604
ж!,3,3/770604
mo,3,3/770604
(у,3,3/770604
г-,3,3/770604
Пы,3,3/770604
on,3,3/770604
 a,3,3/770604
hi,3,3/770604
ie,3,3/770604
рё,3,3/770604
ho,3,3/770604
re,3,3/770604
es,3,3/770604
ао,3,3/770604
te,3,3/770604
Вш,3,3/770604
1),3,3/770604
2),3,3/770604
…“,3,3/770604
Жд,3,3/770604
Ап,3,3/770604
 к,3,3/770604
«Ф,3,3/770604
Уп,3,3/770604
Ее,3,3/770604
 1,3,3/770604
ьх,3,3/770604
<м,3,3/770604
Ор,3,3/770604
Ху,3,3/770604
<з,3,3/770604
"
*",3,3/770604
"*
",3,3/770604
<ц,3,3/770604
"
Ш",3,3/770604
Юр,3,3/770604
<ж,3,3/770604
х>,3,3/770604
<с,3,3/770604
<д,3,3/770604
45,3,3/770604
tt,3,3/770604
tp,3,3/770604
p:,3,3/770604
:/,3,3/770604
//,3,3/770604
/r,3,3/770604
"
5",3,3/770604
ОМ,2,2/770604
М ,2,2/770604
"Й
",2,2/770604
Въ,2,2/770604
Ар,2,2/770604
«б,2,2/770604
;[,2,2/770604
ъю,2,2/770604
Чр,2,2/770604
с»,2,2/770604
з:,2,2/770604
Тя,2,2/770604
р…,2,2/770604
Гн,2,2/770604
Иш,2,2/770604
«У,2,2/770604
з;,2,2/770604
Ог,2,2/770604
.:,2,2/770604
юз,2,2/770604
ёл,2,2/770604
цц,2,2/770604
en,2,2/770604
os,2,2/770604
Ры,2,2/770604
Оп,2,2/770604
10,2,2/770604
м),2,2/770604
) ,2,2/770604
;л,2,2/770604
мш,2,2/770604
11,2,2/770604
"Э,",2,2/770604
Ды,2,2/770604
Пь,2,2/770604
12,2,2/770604
Щи,2,2/770604
Фу,2,2/770604
п!,2,2/770604
ъ ,2,2/770604
з!,2,2/770604
Уб,2,2/770604
„Д,2,2/770604
13,2,2/770604
д-,2,2/770604
фм,2,2/770604
«о,2,2/770604
15,2,2/770604
к“,2,2/770604
т“,2,2/770604
 ъ,2,2/770604
„О,2,2/770604
„Г,2,2/770604
в“,2,2/770604
о“,2,2/770604
у“,2,2/770604
„И,2,2/770604
м“,2,2/770604
Аб,2,2/770604
г…,2,2/770604
сф,2,2/770604
ч:,2,2/770604
мт,2,2/770604
16,2,2/770604
«Ш,2,2/770604
мз,2,2/770604
!),2,2/770604
уэ,2,2/770604
".,",2,2/770604
лц,2,2/770604
17,2,2/770604
(л,2,2/770604
(н,2,2/770604
эф,2,2/770604
с;,2,2/770604
тё,2,2/770604
е[,2,2/770604
 i,2,2/770604
in,2,2/770604
nc,2,2/770604
od,2,2/770604
di,2,2/770604
it,2,2/770604
;),2,2/770604
гт,2,2/770604
(м,2,2/770604
19,2,2/770604
фч,2,2/770604
уц,2,2/770604
-у,2,2/770604
20,2,2/770604
 b,2,2/770604
be,2,2/770604
 f,2,2/770604
fe,2,2/770604
em,2,2/770604
21,2,2/770604
ce,2,2/770604
 q,2,2/770604
qu,2,2/770604
u’,2,2/770604
’o,2,2/770604
ap,2,2/770604
pp,2,2/770604
pe,2,2/770604
is,2,2/770604
to,2,2/770604
Ри,2,2/770604
22,2,2/770604
с ,2,2/770604
rr,2,2/770604
eu,2,2/770604
ur,2,2/770604
r),2,2/770604
);,2,2/770604
24,2,2/770604
m&,2,2/770604
;r,2,2/770604
ra,2,2/770604
ag,2,2/770604
ge,2,2/770604
s),2,2/770604
о),2,2/770604
4;,2,2/770604
;t,2,2/770604
25,2,2/770604
26,2,2/770604
27,2,2/770604
йп,2,2/770604
28,2,2/770604
Ам,2,2/770604
и“,2,2/770604
„Х,2,2/770604
х“,2,2/770604
„з,2,2/770604
„К,2,2/770604
29,2,2/770604
 6,2,2/770604
"6,",2,2/770604
Ух,2,2/770604
е),2,2/770604
Бь,2,2/770604
30,2,2/770604
б-,2,2/770604
"
Е",2,2/770604
31,2,2/770604
32,2,2/770604
ч…,2,2/770604
Юз,2,2/770604
ь[,2,2/770604
ц-,2,2/770604
нл,2,2/770604
юе,2,2/770604
?!,2,2/770604
»?,2,2/770604
55,2,2/770604
5),2,2/770604
с…,2,2/770604
35,2,2/770604
Съ,2,2/770604
37,2,2/770604
<П,2,2/770604
38,2,2/770604
П.,2,2/770604
СП,2,2/770604
Пб,2,2/770604
57,2,2/770604
7.,2,2/770604
>:,2,2/770604
Ть,2,2/770604
>?,2,2/770604
<л,2,2/770604
39,2,2/770604
 [,2,2/770604
40,2,2/770604
Аз,2,2/770604
"
<",2,2/770604
"
Ю",2,2/770604
43,2,2/770604
-ю,2,2/770604
й),2,2/770604
>!,2,2/770604
44,2,2/770604
Яв,2,2/770604
С ,2,2/770604
 л,2,2/770604
(и,2,2/770604
46,2,2/770604
47,2,2/770604
48,2,2/770604
49,2,2/770604
50,2,2/770604
51,2,2/770604
u/,2,2/770604
/g,2,2/770604
og,2,2/770604
l_,2,2/770604
_n,2,2/770604
ni,2,2/770604
ik,2,2/770604
ko,2,2/770604
la,2,2/770604
ay,2,2/770604
.h,2,2/770604
tm,2,2/770604
ml,2,2/770604
"l
",2,2/770604
"е
",2,2/770604
ПЕ,1,1/770604
ЕР,1,1/770604
РВ,1,1/770604
ВЫ,1,1/770604
ЫЙ,1,1/770604
NN,1,1/770604
N ,1,1/770604
ём,1,1/770604
«г,1,1/770604
Сх,1,1/770604
хъ,1,1/770604
Вв,1,1/770604
«ю,1,1/770604
ж»,1,1/770604
ж…,1,1/770604
?[,1,1/770604
а[,1,1/770604
Я?,1,1/770604
Хи,1,1/770604
"У,",1,1/770604
«ж,1,1/770604
Я-,1,1/770604
Ов,1,1/770604
«л,1,1/770604
ж;,1,1/770604
[6,1,1/770604
е&,1,1/770604
йо,1,1/770604
[7,1,1/770604
 e,1,1/770604
 g,1,1/770604
gr,1,1/770604
s.,1,1/770604
[8,1,1/770604
у[,1,1/770604
[9,1,1/770604
и&,1,1/770604
юп,1,1/770604
.!,1,1/770604
![,1,1/770604
Еж,1,1/770604
э!,1,1/770604
»[,1,1/770604
«Ж,1,1/770604
 Щ,1,1/770604
Эд,1,1/770604
ё…,1,1/770604
ёх,1,1/770604
Як,1,1/770604
Хм,1,1/770604
вю,1,1/770604
ы&,1,1/770604
";,",1,1/770604
я&,1,1/770604
; ,1,1/770604
Ны,1,1/770604
Ши,1,1/770604
Вч,1,1/770604
ш;,1,1/770604
Оз,1,1/770604
з?,1,1/770604
ю[,1,1/770604
„Э,1,1/770604
"ъ,",1,1/770604
ъ.,1,1/770604
„У,1,1/770604
„Я,1,1/770604
е“,1,1/770604
Ца,1,1/770604
хэ,1,1/770604
жр,1,1/770604
N3,1,1/770604
68,1,1/770604
8!,1,1/770604
нх,1,1/770604
шр,1,1/770604
хп,1,1/770604
Шп,1,1/770604
Жу,1,1/770604
Юн,1,1/770604
	Д,1,1/770604
"т
",1,1/770604
	Т,1,1/770604
	В,1,1/770604
	Ч,1,1/770604
 p,1,1/770604
po,1,1/770604
ts,1,1/770604
sc,1,1/770604
cr,1,1/770604
ip,1,1/770604
pt,1,1/770604
tu,1,1/770604
um,1,1/770604
m[,1,1/770604
(д,1,1/770604
пх,1,1/770604
йх,1,1/770604
яо,1,1/770604
б!,1,1/770604
Эм,1,1/770604
Вя,1,1/770604
Ди,1,1/770604
Оф,1,1/770604
ёг,1,1/770604
„Б,1,1/770604
п»,1,1/770604
що,1,1/770604
„в,1,1/770604
„н,1,1/770604
оа,1,1/770604
] ,1,1/770604
й[,1,1/770604
Ци,1,1/770604
(з,1,1/770604
фн,1,1/770604
 t,1,1/770604
e-,1,1/770604
-a,1,1/770604
a-,1,1/770604
-t,1,1/770604
"e,",1,1/770604
ы[,1,1/770604
„М,1,1/770604
б“,1,1/770604
„ч,1,1/770604
„В,1,1/770604
н“,1,1/770604
„ш,1,1/770604
„д,1,1/770604
“;,1,1/770604
Вм,1,1/770604
Эг,1,1/770604
Би,1,1/770604
А?,1,1/770604
б:,1,1/770604
кх,1,1/770604
Чл,1,1/770604
(в,1,1/770604
Уд,1,1/770604
(б,1,1/770604
у),1,1/770604
иэ,1,1/770604
ВТ,1,1/770604
ОР,1,1/770604
РО,1,1/770604
ОЙ,1,1/770604
я[,1,1/770604
хч,1,1/770604
д<,1,1/770604
::,1,1/770604
Чь,1,1/770604
Вб,1,1/770604
(Ж,1,1/770604
д),1,1/770604
Цы,1,1/770604
<я,1,1/770604
ж:,1,1/770604
кз,1,1/770604
(Ч,1,1/770604
нм,1,1/770604
э:,1,1/770604
хд,1,1/770604
шё,1,1/770604
-ж,1,1/770604
Вл,1,1/770604
«Щ,1,1/770604
Щу,1,1/770604
вэ,1,1/770604
э ,1,1/770604
д[,1,1/770604
<х,1,1/770604
Уг,1,1/770604
«<,1,1/770604
>;,1,1/770604
<К,1,1/770604
",—",1,1/770604
Шк,1,1/770604
р>,1,1/770604
4-,1,1/770604
хг,1,1/770604
Ти,1,1/770604
г?,1,1/770604
ё-,1,1/770604
 «,1,1/770604
«…,1,1/770604
…в,1,1/770604
 2,1,1/770604
Ех,1,1/770604
д…,1,1/770604
Яс,1,1/770604
я),1,1/770604
вг,1,1/770604
«у,1,1/770604
[в,1,1/770604
е],1,1/770604
и ,1,1/770604
 п,1,1/770604
Их,1,1/770604
Ср,1,1/770604
(р,1,1/770604
(т,1,1/770604
с),1,1/770604
"
…",1,1/770604
…ч,1,1/770604
 …,1,1/770604
……,1,1/770604
….,1,1/770604
<О,1,1/770604
">
",1,1/770604
(э,1,1/770604
ю),1,1/770604
ф-,1,1/770604
"ф,",1,1/770604
о<,1,1/770604
>к,1,1/770604
б…,1,1/770604
ц»,1,1/770604
(к,1,1/770604
ьф,1,1/770604
 Ц,1,1/770604
е<,1,1/770604
<Х,1,1/770604
а<,1,1/770604
я<,1,1/770604
ч>,1,1/770604
с>,1,1/770604
ы ,1,1/770604
 т,1,1/770604
Ля,1,1/770604
am,1,1/770604
e.,1,1/770604
з>,1,1/770604
е ,1,1/770604
"
Ж",1,1/770604
ц…,1,1/770604
<М,1,1/770604
в<,1,1/770604
ю>,1,1/770604
-Д,1,1/770604
 …,1,1/770604
…х,1,1/770604
б;,1,1/770604
[р,1,1/770604
о],1,1/770604
-<,1,1/770604
<е,1,1/770604
<ш,1,1/770604
 R,1,1/770604
Ro,1,1/770604
u:,1,1/770604
"u
",1,1/770604
/c,1,1/770604
nt,1,1/770604
t/,1,1/770604
y/,1,1/770604
/m,1,1/770604
er,1,1/770604
rt,1,1/770604
tv,1,1/770604
vi,1,1/770604
e_,1,1/770604
_d,1,1/770604
du,1,1/770604
us,1,1/770604
sh,1,1/770604
i.,1,1/770604
/a,1,1/770604
au,1,1/770604
ut,1,1/770604
th,1,1/770604
r/,1,1/770604
y.,1,1/770604
ПР,1,1/770604
РИ,1,1/770604
ИЛ,1,1/770604
ЛО,1,1/770604
ОЖ,1,1/770604
ЖЕ,1,1/770604
ЕН,1,1/770604
НИ,1,1/770604
ИЕ,1,1/770604
"Е
",1,1/770604
"
(",1,1/770604
(Р,1,1/770604
б»,1,1/770604
Дн,1,1/770604
ш:,1,1/770604
"
n",1,1/770604
no,1,1/770604
ot,1,1/770604
"s
",1,1/770604
"
6",1,1/770604
"
7",1,1/770604
"
8",1,1/770604
"
9",1,1/770604
